period,entity,region,department,actual_ending_headcount,budget_ending_headcount,headcount_variance,actual_payroll_cost,budget_payroll_cost,payroll_variance
2023-06,UK,West,Operations,16,16.35,-0.35,112600.08,112787.39,-187.31
2023-06,UK,West,Sales,12,13.02,-1.02,93257.6,94355.74,-1098.14
2023-06,UK,West,Technology,10,9.95,0.05,71860.08,77362.97,-5502.89
2023-06,USA,Central,G&A,7,7.19,-0.19,57709.56,58738.8,-1029.24
2023-06,USA,Central,Marketing,10,10.52,-0.52,64522.06,64008.19,513.87
2023-06,USA,Central,Operations,22,23.32,-1.32,136810.23,140386.07,-3575.84
2023-06,USA,Central,Sales,15,15.47,-0.47,101482.19,103227.93,-1745.74
2023-06,USA,Central,Technology,13,13.76,-0.76,105947.63,106958.29,-1010.66
2023-06,USA,East,G&A,7,7.32,-0.32,40836.91,40472.27,364.64
2023-06,USA,East,Marketing,10,10.38,-0.38,64796.48,69681.55,-4885.07
2023-06,USA,East,Operations,22,22.15,-0.15,176092.14,184241.39,-8149.25
2023-06,USA,East,Sales,16,16.42,-0.42,116191.79,117196.35,-1004.56
2023-06,USA,East,Technology,12,13.16,-1.16,84014.99,85959.59,-1944.6
2023-06,USA,International,G&A,6,6.04,-0.04,46202.33,46740.46,-538.13
2023-06,USA,International,Marketing,7,7.35,-0.35,53862.92,52973.16,889.76
2023-06,USA,International,Operations,18,18.09,-0.09,121041.04,118779.64,2261.4
2023-06,USA,International,Sales,13,13.36,-0.36,96853.53,100837.41,-3983.88
2023-06,USA,International,Technology,11,10.94,0.06,89484.51,99689.02,-10204.51
2023-06,USA,West,G&A,8,7.81,0.19,59021.05,57280.69,1740.36
2023-06,USA,West,Marketing,11,11.38,-0.38,73158.82,76643.77,-3484.95
2023-06,USA,West,Operations,25,25.13,-0.13,187354.18,190327.43,-2973.25
2023-06,USA,West,Sales,19,19.42,-0.42,112255.19,118627.66,-6372.47
2023-06,USA,West,Technology,15,15.72,-0.72,113488.32,115736.45,-2248.13
2023-07,Canada,Central,G&A,5,5.1,-0.1,35029.94,37138.17,-2108.23
2023-07,Canada,Central,Marketing,7,7.45,-0.45,49549.22,49379.91,169.31
2023-07,Canada,Central,Operations,16,16.87,-0.87,131370.76,134518.78,-3148.02
2023-07,Canada,Central,Sales,13,13.23,-0.23,83898.84,87105.01,-3206.17
2023-07,Canada,Central,Technology,11,11.69,-0.69,70904.01,73700.85,-2796.84
2023-07,Canada,East,G&A,5,5.19,-0.19,32226.98,31582.32,644.66
2023-07,Canada,East,Marketing,7,7.42,-0.42,54455.52,55027.42,-571.9
2023-07,Canada,East,Operations,16,17.3,-1.3,115177.37,118128.29,-2950.92
2023-07,Canada,East,Sales,12,12.35,-0.35,95810.62,101788.85,-5978.23
2023-07,Canada,East,Technology,10,9.94,0.06,67609.18,74109.8,-6500.62
2023-07,Canada,International,G&A,4,4.25,-0.25,28834.24,30188.22,-1353.98
2023-07,Canada,International,Marketing,5,5.19,-0.19,38934.76,39538.59,-603.83
2023-07,Canada,International,Operations,13,13.58,-0.58,89039.78,93071.23,-4031.45
2023-07,Canada,International,Sales,9,9.54,-0.54,63647.49,67351.64,-3704.15
2023-07,Canada,International,Technology,8,8.27,-0.27,60894.79,60708.75,186.04
2023-07,Canada,West,G&A,6,6.37,-0.37,37430.44,37783.87,-353.43
2023-07,Canada,West,Marketing,8,8.36,-0.36,51867.85,53316.31,-1448.46
2023-07,Canada,West,Operations,18,18.93,-0.93,103515.25,104849.64,-1334.39
2023-07,Canada,West,Sales,14,14.88,-0.88,103970.01,103431.55,538.46
2023-07,Canada,West,Technology,12,12.36,-0.36,76556.58,81766.74,-5210.16
2023-07,UK,Central,G&A,4,3.96,0.04,33152.71,33617.44,-464.73
2023-07,UK,Central,Marketing,6,6.24,-0.24,43345.86,44713.59,-1367.73
2023-07,UK,Central,Operations,14,14.54,-0.54,92400.27,97617.42,-5217.15
2023-07,UK,Central,Sales,10,10.11,-0.11,82957.93,87530.05,-4572.12
2023-07,UK,Central,Technology,8,8.25,-0.25,62322.62,67085.14,-4762.52
2023-07,UK,East,G&A,4,4.1,-0.1,25192.41,25419.83,-227.42
2023-07,UK,East,Marketing,5,5.19,-0.19,33750.17,35316.36,-1566.19
2023-07,UK,East,Operations,13,12.59,0.41,80051.38,81397.63,-1346.25
2023-07,UK,East,Sales,10,10.58,-0.58,64813.74,68890.48,-4076.74
2023-07,UK,East,Technology,8,7.88,0.12,50678.99,53519.35,-2840.36
2023-07,UK,International,G&A,3,3.02,-0.02,20379.77,21251.39,-871.62
2023-07,UK,International,Marketing,5,5.38,-0.38,30730.32,31626.43,-896.11
2023-07,UK,International,Operations,12,11.82,0.18,100627.39,99506.85,1120.54
2023-07,UK,International,Sales,8,8.37,-0.37,56900.4,60147.92,-3247.52
2023-07,UK,International,Technology,6,6.11,-0.11,40235.11,43514.91,-3279.8
2023-07,UK,West,G&A,5,4.98,0.02,29743.07,32348.03,-2604.96
2023-07,UK,West,Marketing,7,7.37,-0.37,62305.83,66947.95,-4642.12
2023-07,UK,West,Operations,17,18.02,-1.02,122620.57,137171.46,-14550.89
2023-07,UK,West,Sales,12,12.01,-0.01,81030.95,87441.78,-6410.83
2023-07,UK,West,Technology,10,10.25,-0.25,85759.01,86505.88,-746.87
2023-07,USA,Central,G&A,7,6.94,0.06,39338.66,40970.94,-1632.28
2023-07,USA,Central,Marketing,10,10.73,-0.73,62900.67,64613.63,-1712.96
2023-07,USA,Central,Operations,22,22.27,-0.27,150263.49,150972.81,-709.32
2023-07,USA,Central,Sales,17,18.2,-1.2,149350.98,155758.72,-6407.74
2023-07,USA,Central,Technology,14,13.84,0.16,99857.76,103071.77,-3214.01
2023-07,USA,East,G&A,6,6.0,0.0,35259.95,38379.17,-3119.22
2023-07,USA,East,Marketing,10,9.91,0.09,75008.7,78869.47,-3860.77
2023-07,USA,East,Operations,21,21.61,-0.61,154848.12,162643.36,-7795.24
2023-07,USA,East,Sales,16,15.9,0.1,115800.21,117452.34,-1652.13
2023-07,USA,East,Technology,14,14.67,-0.67,102639.55,102220.5,419.05
2023-07,USA,International,G&A,6,6.03,-0.03,43287.52,47374.05,-4086.53
2023-07,USA,International,Marketing,8,8.51,-0.51,55751.52,58190.2,-2438.68
2023-07,USA,International,Operations,17,17.63,-0.63,113757.47,110889.16,2868.31
2023-07,USA,International,Sales,14,14.44,-0.44,115100.05,117543.03,-2442.98
2023-07,USA,International,Technology,12,12.52,-0.52,93104.96,94388.47,-1283.51
2023-07,USA,West,G&A,8,8.25,-0.25,63686.02,69735.72,-6049.7
2023-07,USA,West,Marketing,11,11.66,-0.66,73072.06,74892.75,-1820.69
2023-07,USA,West,Operations,25,26.67,-1.67,212894.84,220935.6,-8040.76
2023-07,USA,West,Sales,18,17.42,0.58,129492.82,139133.57,-9640.75
2023-07,USA,West,Technology,16,17.15,-1.15,122925.42,128204.22,-5278.8
2023-08,Canada,Central,G&A,5,5.3,-0.3,37053.87,37701.96,-648.09
2023-08,Canada,Central,Marketing,7,7.2,-0.2,51765.79,56157.24,-4391.45
2023-08,Canada,Central,Operations,15,15.93,-0.93,109447.02,107300.07,2146.95
2023-08,Canada,Central,Sales,12,12.29,-0.29,97385.19,103830.54,-6445.35
2023-08,Canada,Central,Technology,10,10.5,-0.5,78038.93,81907.57,-3868.64
2023-08,Canada,East,G&A,5,5.29,-0.29,31919.72,33343.17,-1423.45
2023-08,Canada,East,Marketing,7,7.19,-0.19,46087.11,50493.59,-4406.48
2023-08,Canada,East,Operations,16,15.52,0.48,119902.51,126057.52,-6155.01
2023-08,Canada,East,Sales,12,12.08,-0.08,87523.7,89491.28,-1967.58
2023-08,Canada,East,Technology,10,10.15,-0.15,80087.65,80325.21,-237.56
2023-08,Canada,International,G&A,4,3.98,0.02,31202.58,33279.33,-2076.75
2023-08,Canada,International,Marketing,6,6.38,-0.38,38788.95,40708.96,-1920.01
2023-08,Canada,International,Operations,13,12.85,0.15,96773.17,98241.55,-1468.38
2023-08,Canada,International,Sales,11,11.24,-0.24,87333.48,89680.88,-2347.4
2023-08,Canada,International,Technology,8,7.94,0.06,50112.23,50921.64,-809.41
2023-08,Canada,West,G&A,6,6.33,-0.33,47168.81,48781.8,-1612.99
2023-08,Canada,West,Marketing,8,8.28,-0.28,51815.67,55843.44,-4027.77
2023-08,Canada,West,Operations,17,16.98,0.02,137674.06,134369.76,3304.3
2023-08,Canada,West,Sales,15,15.82,-0.82,111575.13,111058.89,516.24
2023-08,Canada,West,Technology,12,12.44,-0.44,92281.82,95676.03,-3394.21
2023-08,UK,Central,G&A,4,3.96,0.04,31308.33,31294.81,13.52
2023-08,UK,Central,Marketing,6,6.27,-0.27,40687.26,41362.85,-675.59
2023-08,UK,Central,Operations,14,14.3,-0.3,114482.57,116928.1,-2445.53
2023-08,UK,Central,Sales,11,11.47,-0.47,80137.91,81843.69,-1705.78
2023-08,UK,Central,Technology,9,9.06,-0.06,62166.72,65260.93,-3094.21
2023-08,UK,East,G&A,4,4.22,-0.22,33954.3,35382.16,-1427.86
2023-08,UK,East,Marketing,6,5.94,0.06,43968.99,46470.46,-2501.47
2023-08,UK,East,Operations,13,14.17,-1.17,91743.9,91817.8,-73.9
2023-08,UK,East,Sales,10,10.49,-0.49,98818.69,101429.25,-2610.56
2023-08,UK,East,Technology,8,8.5,-0.5,56529.93,59085.43,-2555.5
2023-08,UK,International,G&A,3,2.98,0.02,18629.96,18979.69,-349.73
2023-08,UK,International,Marketing,5,5.26,-0.26,37395.79,40226.4,-2830.61
2023-08,UK,International,Operations,11,10.58,0.42,75327.34,79822.02,-4494.68
2023-08,UK,International,Sales,8,8.26,-0.26,51515.72,52455.43,-939.71
2023-08,UK,International,Technology,7,7.09,-0.09,51302.24,52014.48,-712.24
2023-08,UK,West,G&A,5,5.43,-0.43,39292.53,42501.16,-3208.63
2023-08,UK,West,Marketing,7,7.47,-0.47,48934.62,50107.48,-1172.86
2023-08,UK,West,Operations,17,17.65,-0.65,132758.57,130384.5,2374.07
2023-08,UK,West,Sales,12,12.02,-0.02,104024.4,106893.08,-2868.68
2023-08,UK,West,Technology,10,10.41,-0.41,94353.89,92953.29,1400.6
2023-08,USA,Central,G&A,7,7.04,-0.04,54119.28,52336.29,1782.99
2023-08,USA,Central,Marketing,9,9.13,-0.13,62662.99,62011.56,651.43
2023-08,USA,Central,Operations,21,21.67,-0.67,150376.99,159383.11,-9006.12
2023-08,USA,Central,Sales,18,17.95,0.05,124080.32,126502.35,-2422.03
2023-08,USA,Central,Technology,14,13.83,0.17,119460.5,124073.12,-4612.62
2023-08,USA,East,G&A,7,7.25,-0.25,44528.46,44676.58,-148.12
2023-08,USA,East,Marketing,9,9.75,-0.75,57636.52,59018.17,-1381.65
2023-08,USA,East,Operations,21,21.88,-0.88,187026.36,189761.29,-2734.93
2023-08,USA,East,Sales,16,15.64,0.36,107192.84,111228.32,-4035.48
2023-08,USA,East,Technology,13,13.64,-0.64,91037.01,96316.13,-5279.12
2023-08,USA,International,G&A,6,6.1,-0.1,47511.93,48903.91,-1391.98
2023-08,USA,International,Marketing,8,8.74,-0.74,59047.68,63540.29,-4492.61
2023-08,USA,International,Operations,16,16.47,-0.47,114698.7,123100.75,-8402.05
2023-08,USA,International,Sales,13,13.3,-0.3,85687.1,88282.97,-2595.87
2023-08,USA,International,Technology,11,10.87,0.13,78963.95,79315.08,-351.13
2023-08,USA,West,G&A,8,8.43,-0.43,64415.15,66799.64,-2384.49
2023-08,USA,West,Marketing,10,10.42,-0.42,84180.92,85401.0,-1220.08
2023-08,USA,West,Operations,24,25.31,-1.31,160066.43,164025.43,-3959.0
2023-08,USA,West,Sales,18,17.78,0.22,139241.55,141290.59,-2049.04
2023-08,USA,West,Technology,16,16.86,-0.86,133402.32,136997.24,-3594.92
2023-09,Canada,Central,G&A,5,5.36,-0.36,35147.25,36054.33,-907.08
2023-09,Canada,Central,Marketing,7,7.48,-0.48,54016.71,54975.36,-958.65
2023-09,Canada,Central,Operations,15,15.86,-0.86,101697.45,107092.09,-5394.64
2023-09,Canada,Central,Sales,12,12.55,-0.55,82681.06,89683.44,-7002.38
2023-09,Canada,Central,Technology,10,9.66,0.34,73401.08,79038.29,-5637.21
2023-09,Canada,East,G&A,5,4.95,0.05,31515.62,34195.92,-2680.3
2023-09,Canada,East,Marketing,7,7.46,-0.46,53485.81,51851.4,1634.41
2023-09,Canada,East,Operations,15,15.4,-0.4,97603.39,103320.47,-5717.08
2023-09,Canada,East,Sales,11,11.56,-0.56,79724.1,83505.66,-3781.56
2023-09,Canada,East,Technology,10,10.16,-0.16,74186.12,70559.75,3626.37
2023-09,Canada,International,G&A,4,3.79,0.21,30570.76,32191.63,-1620.87
2023-09,Canada,International,Marketing,5,5.07,-0.07,39747.0,42461.51,-2714.51
2023-09,Canada,International,Operations,13,13.4,-0.4,105680.97,110025.44,-4344.47
2023-09,Canada,International,Sales,10,10.81,-0.81,70660.05,71866.35,-1206.3
2023-09,Canada,International,Technology,7,6.83,0.17,43664.64,44634.74,-970.1
2023-09,Canada,West,G&A,6,6.44,-0.44,46143.76,46837.91,-694.15
2023-09,Canada,West,Marketing,8,8.59,-0.59,70399.04,74125.17,-3726.13
2023-09,Canada,West,Operations,18,18.57,-0.57,136922.49,139514.19,-2591.7
2023-09,Canada,West,Sales,15,15.4,-0.4,112242.91,119391.01,-7148.1
2023-09,Canada,West,Technology,12,12.45,-0.45,85546.1,86761.58,-1215.48
2023-09,UK,Central,G&A,4,3.97,0.03,24466.01,25826.31,-1360.3
2023-09,UK,Central,Marketing,6,5.84,0.16,43543.1,43897.3,-354.2
2023-09,UK,Central,Operations,14,14.98,-0.98,100723.62,107633.26,-6909.64
2023-09,UK,Central,Sales,10,10.22,-0.22,70805.86,71955.4,-1149.54
2023-09,UK,Central,Technology,9,9.42,-0.42,58055.88,61007.82,-2951.94
2023-09,UK,East,G&A,5,4.93,0.07,33625.03,36629.32,-3004.29
2023-09,UK,East,Marketing,6,6.13,-0.13,39993.86,41175.15,-1181.29
2023-09,UK,East,Operations,13,13.43,-0.43,82273.42,86406.13,-4132.71
2023-09,UK,East,Sales,10,9.9,0.1,76239.72,76319.01,-79.29
2023-09,UK,East,Technology,9,9.2,-0.2,69386.79,75385.47,-5998.68
2023-09,UK,International,G&A,4,4.07,-0.07,35782.07,38063.0,-2280.93
2023-09,UK,International,Marketing,5,5.17,-0.17,38810.73,40338.74,-1528.01
2023-09,UK,International,Operations,11,11.48,-0.48,73229.11,77524.17,-4295.06
2023-09,UK,International,Sales,8,8.18,-0.18,60440.72,60927.42,-486.7
2023-09,UK,International,Technology,7,7.11,-0.11,43834.3,45715.53,-1881.23
2023-09,UK,West,G&A,5,5.2,-0.2,37847.07,38433.31,-586.24
2023-09,UK,West,Marketing,7,6.94,0.06,40294.04,40900.53,-606.49
2023-09,UK,West,Operations,16,16.31,-0.31,117665.91,124072.74,-6406.83
2023-09,UK,West,Sales,12,12.17,-0.17,89631.18,94997.45,-5366.27
2023-09,UK,West,Technology,10,10.53,-0.53,69296.01,71297.42,-2001.41
2023-09,USA,Central,G&A,7,7.07,-0.07,49551.74,51528.17,-1976.43
2023-09,USA,Central,Marketing,9,9.41,-0.41,65924.8,64872.11,1052.69
2023-09,USA,Central,Operations,23,23.45,-0.45,164674.53,165394.19,-719.66
2023-09,USA,Central,Sales,17,17.38,-0.38,132133.56,132795.19,-661.63
2023-09,USA,Central,Technology,14,13.94,0.06,102737.42,103676.29,-938.87
2023-09,USA,East,G&A,7,7.51,-0.51,48189.0,48170.99,18.01
2023-09,USA,East,Marketing,10,9.62,0.38,91170.94,92688.09,-1517.15
2023-09,USA,East,Operations,20,19.88,0.12,114845.58,116581.93,-1736.35
2023-09,USA,East,Sales,16,16.09,-0.09,96469.41,97940.85,-1471.44
2023-09,USA,East,Technology,14,13.84,0.16,101421.15,104317.22,-2896.07
2023-09,USA,International,G&A,6,6.16,-0.16,49418.18,48693.13,725.05
2023-09,USA,International,Marketing,8,8.38,-0.38,59723.53,63150.27,-3426.74
2023-09,USA,International,Operations,18,18.6,-0.6,133606.07,136641.81,-3035.74
2023-09,USA,International,Sales,14,14.03,-0.03,116826.17,121935.99,-5109.82
2023-09,USA,International,Technology,11,11.62,-0.62,86287.06,86862.33,-575.27
2023-09,USA,West,G&A,8,7.88,0.12,64987.3,67253.38,-2266.08
2023-09,USA,West,Marketing,11,11.38,-0.38,82493.78,86615.87,-4122.09
2023-09,USA,West,Operations,25,25.7,-0.7,184098.03,183893.04,204.99
2023-09,USA,West,Sales,18,19.08,-1.08,132044.06,130191.02,1853.04
2023-09,USA,West,Technology,15,16.04,-1.04,114595.02,113532.09,1062.93
2023-10,Canada,Central,G&A,5,5.4,-0.4,38372.99,39783.88,-1410.89
2023-10,Canada,Central,Marketing,7,7.29,-0.29,54893.78,55825.96,-932.18
2023-10,Canada,Central,Operations,16,15.96,0.04,134535.57,137420.23,-2884.66
2023-10,Canada,Central,Sales,12,12.42,-0.42,88721.83,94417.67,-5695.84
2023-10,Canada,Central,Technology,10,10.33,-0.33,72187.57,75555.58,-3368.01
2023-10,Canada,East,G&A,5,4.99,0.01,33130.89,33683.37,-552.48
2023-10,Canada,East,Marketing,7,7.4,-0.4,55424.66,57088.87,-1664.21
2023-10,Canada,East,Operations,15,16.15,-1.15,116497.93,114622.14,1875.79
2023-10,Canada,East,Sales,11,11.57,-0.57,64711.32,64705.1,6.22
2023-10,Canada,East,Technology,10,10.57,-0.57,71739.89,76819.66,-5079.77
2023-10,Canada,International,G&A,4,4.18,-0.18,19686.85,20853.02,-1166.17
2023-10,Canada,International,Marketing,6,6.34,-0.34,46518.56,47293.84,-775.28
2023-10,Canada,International,Operations,13,14.01,-1.01,72053.68,74561.78,-2508.1
2023-10,Canada,International,Sales,10,10.0,0.0,72378.35,77009.52,-4631.17
2023-10,Canada,International,Technology,8,8.44,-0.44,73413.59,74424.09,-1010.5
2023-10,Canada,West,G&A,6,6.03,-0.03,28307.59,28324.23,-16.64
2023-10,Canada,West,Marketing,9,9.22,-0.22,61673.94,60561.09,1112.85
2023-10,Canada,West,Operations,20,20.07,-0.07,142114.1,148410.43,-6296.33
2023-10,Canada,West,Sales,13,13.58,-0.58,105142.21,104352.41,789.8
2023-10,Canada,West,Technology,12,12.4,-0.4,89097.04,93200.26,-4103.22
2023-10,UK,Central,G&A,4,3.87,0.13,31739.77,33094.27,-1354.5
2023-10,UK,Central,Marketing,6,6.5,-0.5,42715.48,43610.02,-894.54
2023-10,UK,Central,Operations,14,14.09,-0.09,90145.08,93004.7,-2859.62
2023-10,UK,Central,Sales,11,11.79,-0.79,74143.31,74927.75,-784.44
2023-10,UK,Central,Technology,9,9.51,-0.51,62318.31,61466.57,851.74
2023-10,UK,East,G&A,4,4.04,-0.04,24854.36,25407.87,-553.51
2023-10,UK,East,Marketing,6,5.92,0.08,40462.05,40890.67,-428.62
2023-10,UK,East,Operations,13,12.98,0.02,91457.84,98753.03,-7295.19
2023-10,UK,East,Sales,10,10.12,-0.12,80194.15,83513.43,-3319.28
2023-10,UK,East,Technology,8,8.25,-0.25,55319.88,54727.59,592.29
2023-10,UK,International,G&A,3,2.8,0.2,26067.19,26516.05,-448.86
2023-10,UK,International,Marketing,5,5.13,-0.13,35781.77,36980.05,-1198.28
2023-10,UK,International,Operations,11,12.14,-1.14,67528.48,67862.37,-333.89
2023-10,UK,International,Sales,8,8.08,-0.08,69619.56,68829.84,789.72
2023-10,UK,International,Technology,7,7.33,-0.33,52945.51,55614.3,-2668.79
2023-10,UK,West,G&A,5,5.27,-0.27,37361.76,38703.12,-1341.36
2023-10,UK,West,Marketing,7,7.09,-0.09,62620.06,65372.64,-2752.58
2023-10,UK,West,Operations,17,17.43,-0.43,152520.41,157484.49,-4964.08
2023-10,UK,West,Sales,12,12.13,-0.13,90218.51,95961.06,-5742.55
2023-10,UK,West,Technology,10,10.39,-0.39,50024.64,52092.22,-2067.58
2023-10,USA,Central,G&A,7,7.25,-0.25,61673.46,65727.96,-4054.5
2023-10,USA,Central,Marketing,10,10.45,-0.45,66556.13,66929.34,-373.21
2023-10,USA,Central,Operations,22,22.97,-0.97,168323.01,172045.95,-3722.94
2023-10,USA,Central,Sales,16,16.51,-0.51,111801.11,120788.28,-8987.17
2023-10,USA,Central,Technology,14,15.13,-1.13,121925.8,127836.38,-5910.58
2023-10,USA,East,G&A,7,7.33,-0.33,48464.07,46758.73,1705.34
2023-10,USA,East,Marketing,9,9.76,-0.76,69819.22,67176.23,2642.99
2023-10,USA,East,Operations,19,20.56,-1.56,143539.31,152104.53,-8565.22
2023-10,USA,East,Sales,16,16.86,-0.86,84106.53,83884.56,221.97
2023-10,USA,East,Technology,14,14.44,-0.44,130287.78,133173.86,-2886.08
2023-10,USA,International,G&A,6,5.85,0.15,45115.77,45592.97,-477.2
2023-10,USA,International,Marketing,8,8.46,-0.46,61570.07,63102.2,-1532.13
2023-10,USA,International,Operations,18,18.69,-0.69,130606.84,136065.62,-5458.78
2023-10,USA,International,Sales,13,13.6,-0.6,73000.55,76643.86,-3643.31
2023-10,USA,International,Technology,11,11.01,-0.01,95794.28,97451.75,-1657.47
2023-10,USA,West,G&A,8,8.15,-0.15,39123.94,42759.05,-3635.11
2023-10,USA,West,Marketing,11,11.16,-0.16,74522.24,76217.46,-1695.22
2023-10,USA,West,Operations,25,25.61,-0.61,167135.88,180518.33,-13382.45
2023-10,USA,West,Sales,20,21.1,-1.1,120871.0,127931.34,-7060.34
2023-10,USA,West,Technology,16,16.53,-0.53,111904.13,115931.5,-4027.37
2023-11,Canada,Central,G&A,5,5.25,-0.25,35718.69,35949.25,-230.56
2023-11,Canada,Central,Marketing,7,6.95,0.05,50637.18,51897.96,-1260.78
2023-11,Canada,Central,Operations,16,17.53,-1.53,115554.92,120042.69,-4487.77
2023-11,Canada,Central,Sales,12,12.77,-0.77,78844.65,79260.37,-415.72
2023-11,Canada,Central,Technology,10,10.23,-0.23,61852.46,63933.61,-2081.15
2023-11,Canada,East,G&A,5,4.89,0.11,38938.54,38578.57,359.97
2023-11,Canada,East,Marketing,7,7.3,-0.3,60530.89,66919.14,-6388.25
2023-11,Canada,East,Operations,15,15.0,0.0,106324.96,106865.22,-540.26
2023-11,Canada,East,Sales,11,11.28,-0.28,87966.72,94545.8,-6579.08
2023-11,Canada,East,Technology,10,10.03,-0.03,81080.92,81146.89,-65.97
2023-11,Canada,International,G&A,5,5.17,-0.17,41366.15,42108.22,-742.07
2023-11,Canada,International,Marketing,6,6.4,-0.4,43357.54,41878.66,1478.88
2023-11,Canada,International,Operations,14,14.18,-0.18,111168.03,117491.78,-6323.75
2023-11,Canada,International,Sales,10,9.89,0.11,74553.11,79562.29,-5009.18
2023-11,Canada,International,Technology,8,8.0,0.0,59572.34,61276.49,-1704.15
2023-11,Canada,West,G&A,6,6.29,-0.29,42808.88,45043.82,-2234.94
2023-11,Canada,West,Marketing,8,8.28,-0.28,52664.6,53374.88,-710.28
2023-11,Canada,West,Operations,19,19.79,-0.79,136998.25,139353.41,-2355.16
2023-11,Canada,West,Sales,15,14.87,0.13,96487.63,97749.62,-1261.99
2023-11,Canada,West,Technology,12,12.74,-0.74,93713.22,91329.2,2384.02
2023-11,UK,Central,G&A,5,5.05,-0.05,42687.68,44476.28,-1788.6
2023-11,UK,Central,Marketing,6,6.33,-0.33,39088.14,40478.55,-1390.41
2023-11,UK,Central,Operations,14,15.02,-1.02,83046.8,81615.67,1431.13
2023-11,UK,Central,Sales,11,11.49,-0.49,81107.53,82890.99,-1783.46
2023-11,UK,Central,Technology,8,7.98,0.02,68743.01,71757.56,-3014.55
2023-11,UK,East,G&A,4,4.02,-0.02,27995.77,29646.87,-1651.1
2023-11,UK,East,Marketing,6,6.21,-0.21,36108.33,36031.44,76.89
2023-11,UK,East,Operations,14,14.21,-0.21,104619.74,103245.37,1374.37
2023-11,UK,East,Sales,10,9.77,0.23,73922.37,77372.13,-3449.76
2023-11,UK,East,Technology,8,8.12,-0.12,50338.58,52393.86,-2055.28
2023-11,UK,International,G&A,3,3.17,-0.17,23646.78,23463.04,183.74
2023-11,UK,International,Marketing,5,5.09,-0.09,34958.62,36767.53,-1808.91
2023-11,UK,International,Operations,11,11.24,-0.24,71778.3,72920.8,-1142.5
2023-11,UK,International,Sales,8,8.08,-0.08,59779.76,63735.21,-3955.45
2023-11,UK,International,Technology,7,7.45,-0.45,40569.27,40399.78,169.49
2023-11,UK,West,G&A,5,4.89,0.11,30155.66,30344.11,-188.45
2023-11,UK,West,Marketing,7,7.11,-0.11,54077.49,59306.36,-5228.87
2023-11,UK,West,Operations,16,16.42,-0.42,123243.24,122228.6,1014.64
2023-11,UK,West,Sales,13,12.64,0.36,106674.99,111818.38,-5143.39
2023-11,UK,West,Technology,11,11.46,-0.46,73553.07,74937.18,-1384.11
2023-11,USA,Central,G&A,6,6.34,-0.34,42446.62,42301.82,144.8
2023-11,USA,Central,Marketing,10,9.7,0.3,66675.19,67636.76,-961.57
2023-11,USA,Central,Operations,22,22.29,-0.29,189898.54,195561.3,-5662.76
2023-11,USA,Central,Sales,16,15.93,0.07,118708.13,121369.29,-2661.16
2023-11,USA,Central,Technology,14,14.36,-0.36,106632.7,103998.67,2634.03
2023-11,USA,East,G&A,7,7.3,-0.3,52555.35,54631.79,-2076.44
2023-11,USA,East,Marketing,9,9.28,-0.28,69114.03,73979.55,-4865.52
2023-11,USA,East,Operations,21,21.99,-0.99,143479.36,147974.85,-4495.49
2023-11,USA,East,Sales,16,16.04,-0.04,131227.21,131146.97,80.24
2023-11,USA,East,Technology,13,12.76,0.24,107610.69,105822.16,1788.53
2023-11,USA,International,G&A,5,5.35,-0.35,38971.16,37642.67,1328.49
2023-11,USA,International,Marketing,8,7.79,0.21,70486.49,74094.93,-3608.44
2023-11,USA,International,Operations,17,18.07,-1.07,121275.86,120351.86,924.0
2023-11,USA,International,Sales,14,14.94,-0.94,117414.46,118613.29,-1198.83
2023-11,USA,International,Technology,11,11.66,-0.66,86555.65,86678.46,-122.81
2023-11,USA,West,G&A,8,8.16,-0.16,65007.92,65736.6,-728.68
2023-11,USA,West,Marketing,11,11.51,-0.51,71437.3,75208.96,-3771.66
2023-11,USA,West,Operations,26,26.9,-0.9,190950.07,187100.13,3849.94
2023-11,USA,West,Sales,20,19.89,0.11,159234.33,162230.41,-2996.08
2023-11,USA,West,Technology,15,14.8,0.2,107697.81,108510.18,-812.37
2023-12,Canada,Central,G&A,5,4.87,0.13,33263.31,32611.5,651.81
2023-12,Canada,Central,Marketing,8,8.26,-0.26,59773.9,60729.6,-955.7
2023-12,Canada,Central,Operations,16,17.38,-1.38,137463.96,147269.82,-9805.86
2023-12,Canada,Central,Sales,12,11.53,0.47,100219.83,102086.1,-1866.27
2023-12,Canada,Central,Technology,11,11.69,-0.69,92810.5,96416.12,-3605.62
2023-12,Canada,East,G&A,5,5.25,-0.25,37097.22,37794.16,-696.94
2023-12,Canada,East,Marketing,7,7.18,-0.18,50905.01,53979.31,-3074.3
2023-12,Canada,East,Operations,17,17.24,-0.24,121397.4,127371.15,-5973.75
2023-12,Canada,East,Sales,12,12.28,-0.28,85177.76,90302.68,-5124.92
2023-12,Canada,East,Technology,10,10.01,-0.01,87247.58,92958.42,-5710.84
2023-12,Canada,International,G&A,4,3.93,0.07,29088.15,30413.87,-1325.72
2023-12,Canada,International,Marketing,6,6.3,-0.3,32442.2,35661.02,-3218.82
2023-12,Canada,International,Operations,13,13.14,-0.14,90237.9,98255.31,-8017.41
2023-12,Canada,International,Sales,10,10.29,-0.29,92336.42,88243.6,4092.82
2023-12,Canada,International,Technology,8,7.96,0.04,60775.8,62790.87,-2015.07
